#     Time           X           Y          Vx          Vy          Ax          Ay
    0.0000      1.0000      0.0000     -0.0000      1.0000     -1.0000     -0.0000
    0.1000      0.9950      0.0998     -0.0998      0.9950     -0.9950     -0.0998
    0.2000      0.9801      0.1987     -0.1987      0.9801     -0.9801     -0.1987
    0.3000      0.9553      0.2955     -0.2955      0.9553     -0.9553     -0.2955
    0.4000      0.9211      0.3894     -0.3894      0.9211     -0.9211     -0.3894
    0.5000      0.8776      0.4794     -0.4794      0.8776     -0.8776     -0.4794
    0.6000      0.8253      0.5646     -0.5646      0.8253     -0.8253     -0.5646
    0.7000      0.7648      0.6442     -0.6442      0.7648     -0.7648     -0.6442
    0.8000      0.6967      0.7174     -0.7174      0.6967     -0.6967     -0.7174
    0.9000      0.6216      0.7833     -0.7833      0.6216     -0.6216     -0.7833
    1.0000      0.5403      0.8415     -0.8415      0.5403     -0.5403     -0.8415
    1.1000      0.4536      0.8912     -0.8912      0.4536     -0.4536     -0.8912
    1.2000      0.3624      0.9320     -0.9320      0.3624     -0.3624     -0.9320
    1.3000      0.2675      0.9636     -0.9636      0.2675     -0.2675     -0.9636
    1.4000      0.1700      0.9854     -0.9854      0.1700     -0.1700     -0.9854
    1.5000      0.0707      0.9975     -0.9975      0.0707     -0.0707     -0.9975
    1.6000     -0.0292      0.9996     -0.9996     -0.0292      0.0292     -0.9996
    1.7000     -0.1288      0.9917     -0.9917     -0.1288      0.1288     -0.9917
    1.8000     -0.2272      0.9738     -0.9738     -0.2272      0.2272     -0.9738
    1.9000     -0.3233      0.9463     -0.9463     -0.3233      0.3233     -0.9463
    2.0000     -0.4161      0.9093     -0.9093     -0.4161      0.4161     -0.9093
    2.1000     -0.5048      0.8632     -0.8632     -0.5048      0.5048     -0.8632
    2.2000     -0.5885      0.8085     -0.8085     -0.5885      0.5885     -0.8085
    2.3000     -0.6663      0.7457     -0.7457     -0.6663      0.6663     -0.7457
    2.4000     -0.7374      0.6755     -0.6755     -0.7374      0.7374     -0.6755
    2.5000     -0.8011      0.5985     -0.5985     -0.8011      0.8011     -0.5985
    2.6000     -0.8569      0.5155     -0.5155     -0.8569      0.8569     -0.5155
    2.7000     -0.9041      0.4274     -0.4274     -0.9041      0.9041     -0.4274
    2.8000     -0.9422      0.3350     -0.3350     -0.9422      0.9422     -0.3350
    2.9000     -0.9710      0.2392     -0.2392     -0.9710      0.9710     -0.2392
    3.0000     -0.9900      0.1411     -0.1411     -0.9900      0.9900     -0.1411
    3.1000     -0.9991      0.0416     -0.0416     -0.9991      0.9991     -0.0416
    3.2000     -0.9983     -0.0584      0.0584     -0.9983      0.9983      0.0584
    3.3000     -0.9875     -0.1577      0.1577     -0.9875      0.9875      0.1577
    3.4000     -0.9668     -0.2555      0.2555     -0.9668      0.9668      0.2555
    3.5000     -0.9365     -0.3508      0.3508     -0.9365      0.9365      0.3508
    3.6000     -0.8968     -0.4425      0.4425     -0.8968      0.8968      0.4425
    3.7000     -0.8481     -0.5298      0.5298     -0.8481      0.8481      0.5298
    3.8000     -0.7910     -0.6119      0.6119     -0.7910      0.7910      0.6119
    3.9000     -0.7259     -0.6878      0.6878     -0.7259      0.7259      0.6878
    4.0000     -0.6536     -0.7568      0.7568     -0.6536      0.6536      0.7568
    4.1000     -0.5748     -0.8183      0.8183     -0.5748      0.5748      0.8183
    4.2000     -0.4903     -0.8716      0.8716     -0.4903      0.4903      0.8716
    4.3000     -0.4008     -0.9162      0.9162     -0.4008      0.4008      0.9162
    4.4000     -0.3073     -0.9516      0.9516     -0.3073      0.3073      0.9516
    4.5000     -0.2108     -0.9775      0.9775     -0.2108      0.2108      0.9775
    4.6000     -0.1122     -0.9937      0.9937     -0.1122      0.1122      0.9937
    4.7000     -0.0124     -0.9999      0.9999     -0.0124      0.0124      0.9999
    4.8000      0.0875     -0.9962      0.9962      0.0875     -0.0875      0.9962
    4.9000      0.1865     -0.9825      0.9825      0.1865     -0.1865      0.9825
    5.0000      0.2837     -0.9589      0.9589      0.2837     -0.2837      0.9589
    5.1000      0.3780     -0.9258      0.9258      0.3780     -0.3780      0.9258
    5.2000      0.4685     -0.8835      0.8835      0.4685     -0.4685      0.8835
    5.3000      0.5544     -0.8323      0.8323      0.5544     -0.5544      0.8323
    5.4000      0.6347     -0.7728      0.7728      0.6347     -0.6347      0.7728
    5.5000      0.7087     -0.7055      0.7055      0.7087     -0.7087      0.7055
    5.6000      0.7756     -0.6313      0.6313      0.7756     -0.7756      0.6313
    5.7000      0.8347     -0.5507      0.5507      0.8347     -0.8347      0.5507
    5.8000      0.8855     -0.4646      0.4646      0.8855     -0.8855      0.4646
    5.9000      0.9275     -0.3739      0.3739      0.9275     -0.9275      0.3739
    6.0000      0.9602     -0.2794      0.2794      0.9602     -0.9602      0.2794
    6.1000      0.9833     -0.1822      0.1822      0.9833     -0.9833      0.1822
    6.2000      0.9965     -0.0831      0.0831      0.9965     -0.9965      0.0831
    6.3000      0.9999      0.0168     -0.0168      0.9999     -0.9999     -0.0168
